trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
179,False,"{'a': 0.5, 'e': 0.892599999999992}",20,-17,-217.15480785241385,"{0: 21, 1: 2, 2: 10, 3: 1, 4: 3}",0
180,False,"{'a': 0.5, 'e': 0.8919999999999919}",20,-11,-58.91202429176051,"{0: 20, 1: 5, 2: 6, 3: 0, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.8913999999999919}",20,-71,-356.9546601721871,"{0: 58, 1: 10, 2: 14, 3: 5, 4: 4}",0
182,False,"{'a': 0.5, 'e': 0.8907999999999918}",25,3,-89.30874876657533,"{0: 15, 1: 1, 2: 3, 3: 2, 4: 1}",1
183,False,"{'a': 0.5, 'e': 0.8901999999999918}",30,-44,-441.2132151575713,"{0: 46, 1: 6, 2: 12, 3: 2, 4: 8}",0
184,False,"{'a': 0.5, 'e': 0.8895999999999917}",25,-16,-149.84506298909014,"{0: 25, 1: 7, 2: 7, 3: 0, 4: 2}",0
185,False,"{'a': 0.5, 'e': 0.8889999999999917}",25,-50,-321.75933432727396,"{0: 44, 1: 6, 2: 21, 3: 1, 4: 3}",0
186,False,"{'a': 0.5, 'e': 0.8883999999999916}",25,-33,-164.19125075229505,"{0: 41, 1: 7, 2: 5, 3: 3, 4: 2}",0
187,False,"{'a': 0.5, 'e': 0.8877999999999916}",25,0,-128.54168484587478,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",1
188,False,"{'a': 0.5, 'e': 0.8871999999999916}",20,-26,-128.81470003568182,"{0: 30, 1: 2, 2: 11, 3: 3, 4: 0}",0
189,False,"{'a': 0.5, 'e': 0.8865999999999915}",25,4,-111.72102874478736,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 1}",1
190,False,"{'a': 0.5, 'e': 0.8859999999999915}",25,-66,-352.11609935425093,"{0: 62, 1: 10, 2: 10, 3: 3, 4: 6}",0
191,False,"{'a': 0.5, 'e': 0.8853999999999914}",25,-20,-218.147397698921,"{0: 25, 1: 8, 2: 8, 3: 1, 4: 3}",0
192,False,"{'a': 0.5, 'e': 0.8847999999999914}",25,6,-19.17588664666802,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.8841999999999913}",30,-100,-584.2697704180996,"{0: 82, 1: 12, 2: 24, 3: 4, 4: 8}",0
194,False,"{'a': 0.5, 'e': 0.8835999999999913}",25,-31,-507.72775238263864,"{0: 25, 1: 9, 2: 10, 3: 4, 4: 8}",0
195,False,"{'a': 0.5, 'e': 0.8829999999999912}",30,-18,-218.8166855792648,"{0: 27, 1: 6, 2: 11, 3: 2, 4: 2}",0
196,False,"{'a': 0.5, 'e': 0.8823999999999912}",25,-100,-669.4233941488709,"{0: 75, 1: 14, 2: 23, 3: 2, 4: 11}",0
197,False,"{'a': 0.5, 'e': 0.8817999999999911}",25,-100,-987.5857395180574,"{0: 62, 1: 13, 2: 26, 3: 10, 4: 14}",0
198,False,"{'a': 0.5, 'e': 0.8811999999999911}",20,-18,-214.0190455763875,"{0: 22, 1: 6, 2: 6, 3: 0, 4: 4}",0
199,False,"{'a': 0.5, 'e': 0.8805999999999911}",30,-16,-260.6977091521248,"{0: 25, 1: 6, 2: 9, 3: 3, 4: 3}",0
200,False,"{'a': 0.5, 'e': 0.879999999999991}",20,9,-97.27209348190902,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 2}",1
201,False,"{'a': 0.5, 'e': 0.879399999999991}",30,-82,-650.6294839226517,"{0: 64, 1: 11, 2: 24, 3: 3, 4: 10}",0
202,False,"{'a': 0.5, 'e': 0.8787999999999909}",25,4,-10.466703911822734,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.8781999999999909}",25,-87,-588.4559742616367,"{0: 66, 1: 14, 2: 18, 3: 6, 4: 8}",0
204,False,"{'a': 0.5, 'e': 0.8775999999999908}",20,-7,-183.46856849032875,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 4}",0
205,False,"{'a': 0.5, 'e': 0.8769999999999908}",20,-40,-173.5561049134696,"{0: 38, 1: 8, 2: 12, 3: 0, 4: 2}",0
206,False,"{'a': 0.5, 'e': 0.8763999999999907}",25,-5,-196.60920928448434,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
207,False,"{'a': 0.5, 'e': 0.8757999999999907}",20,-48,-247.28832774388655,"{0: 44, 1: 8, 2: 10, 3: 3, 4: 3}",0
208,False,"{'a': 0.5, 'e': 0.8751999999999907}",20,-24,-159.5468911509753,"{0: 31, 1: 6, 2: 2, 3: 2, 4: 3}",0
209,False,"{'a': 0.5, 'e': 0.8745999999999906}",20,-19,-263.8690437542195,"{0: 21, 1: 4, 2: 9, 3: 1, 4: 4}",0
210,False,"{'a': 0.5, 'e': 0.8739999999999906}",20,-79,-569.80489319413,"{0: 58, 1: 7, 2: 20, 3: 7, 4: 7}",0
211,False,"{'a': 0.5, 'e': 0.8733999999999905}",30,-81,-487.4881798017626,"{0: 68, 1: 7, 2: 25, 3: 7, 4: 4}",0
212,False,"{'a': 0.5, 'e': 0.8727999999999905}",20,8,1.6698312583618256,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.8721999999999904}",25,-72,-576.6246328404862,"{0: 60, 1: 10, 2: 14, 3: 2, 4: 11}",0
214,False,"{'a': 0.5, 'e': 0.8715999999999904}",25,-36,-203.58605685890277,"{0: 38, 1: 7, 2: 13, 3: 1, 4: 2}",0
215,False,"{'a': 0.5, 'e': 0.8709999999999903}",20,-45,-409.9572669567477,"{0: 36, 1: 4, 2: 15, 3: 5, 4: 5}",0
216,False,"{'a': 0.5, 'e': 0.8703999999999903}",20,1,-102.60775495766083,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 2}",1
217,False,"{'a': 0.5, 'e': 0.8697999999999902}",25,-5,-132.9069648618823,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
218,False,"{'a': 0.5, 'e': 0.8691999999999902}",25,-18,-178.69006071411695,"{0: 28, 1: 2, 2: 9, 3: 2, 4: 2}",0
219,False,"{'a': 0.5, 'e': 0.8685999999999902}",25,10,-21.268018146929407,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.8679999999999901}",20,13,-5.113147476130248,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.8673999999999901}",30,14,-57.201362044742055,"{0: 8, 1: 4, 2: 3, 3: 1, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.86679999999999}",20,-100,-465.5686056592033,"{0: 71, 1: 16, 2: 23, 3: 6, 4: 4}",0
223,False,"{'a': 0.5, 'e': 0.86619999999999}",30,-88,-648.5255127341522,"{0: 71, 1: 7, 2: 26, 3: 5, 4: 9}",0
224,False,"{'a': 0.5, 'e': 0.8655999999999899}",20,-100,-436.2852410679486,"{0: 79, 1: 10, 2: 23, 3: 2, 4: 6}",0
225,False,"{'a': 0.5, 'e': 0.8649999999999899}",20,-87,-570.5083395034256,"{0: 60, 1: 16, 2: 21, 3: 2, 4: 8}",0
226,False,"{'a': 0.5, 'e': 0.8643999999999898}",25,-33,-268.48216051209187,"{0: 41, 1: 1, 2: 8, 3: 4, 4: 4}",0
227,False,"{'a': 0.5, 'e': 0.8637999999999898}",20,-100,-540.9999960659811,"{0: 83, 1: 11, 2: 12, 3: 4, 4: 10}",0
228,False,"{'a': 0.5, 'e': 0.8631999999999898}",20,-19,-170.74572703228864,"{0: 23, 1: 7, 2: 5, 3: 2, 4: 2}",0
229,False,"{'a': 0.5, 'e': 0.8625999999999897}",20,-7,-72.27771056918581,"{0: 19, 1: 3, 2: 3, 3: 1, 4: 1}",0
230,False,"{'a': 0.5, 'e': 0.8619999999999897}",30,8,-105.49821143696542,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 1}",1
231,False,"{'a': 0.5, 'e': 0.8613999999999896}",20,-100,-606.8193024495721,"{0: 73, 1: 15, 2: 18, 3: 6, 4: 8}",0
232,False,"{'a': 0.5, 'e': 0.8607999999999896}",25,3,-103.2451546798382,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 1}",1
233,False,"{'a': 0.5, 'e': 0.8601999999999895}",30,-8,-197.91028129651798,"{0: 23, 1: 5, 2: 5, 3: 2, 4: 3}",0
234,False,"{'a': 0.5, 'e': 0.8595999999999895}",35,-88,-760.2191277706527,"{0: 71, 1: 11, 2: 22, 3: 9, 4: 10}",0
235,False,"{'a': 0.5, 'e': 0.8589999999999894}",30,-2,-75.9646915041396,"{0: 22, 1: 4, 2: 5, 3: 0, 4: 1}",0
236,False,"{'a': 0.5, 'e': 0.8583999999999894}",20,8,9.900063073171774,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.8577999999999893}",20,-7,-191.48034500362002,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 3}",0
238,False,"{'a': 0.5, 'e': 0.8571999999999893}",25,16,-47.11493502561434,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
239,False,"{'a': 0.5, 'e': 0.8565999999999893}",30,-100,-477.5755594820992,"{0: 79, 1: 13, 2: 30, 3: 5, 4: 3}",0
240,False,"{'a': 0.5, 'e': 0.8559999999999892}",30,7,-108.94316003283073,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 2}",1
241,False,"{'a': 0.5, 'e': 0.8553999999999892}",25,2,-43.540247279502616,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
242,False,"{'a': 0.5, 'e': 0.8547999999999891}",25,-36,-170.29884249391236,"{0: 40, 1: 7, 2: 12, 3: 0, 4: 2}",0
243,False,"{'a': 0.5, 'e': 0.8541999999999891}",25,-100,-500.0156998408338,"{0: 83, 1: 14, 2: 15, 3: 6, 4: 7}",0
244,False,"{'a': 0.5, 'e': 0.853599999999989}",30,19,0.6468034435115653,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.852999999999989}",20,-73,-423.4432128309125,"{0: 59, 1: 8, 2: 13, 3: 9, 4: 4}",0
246,False,"{'a': 0.5, 'e': 0.8523999999999889}",25,-53,-200.18484123102863,"{0: 53, 1: 11, 2: 11, 3: 0, 4: 3}",0
247,False,"{'a': 0.5, 'e': 0.8517999999999889}",20,-13,-226.53670264481562,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 4}",0
248,False,"{'a': 0.5, 'e': 0.8511999999999889}",20,8,-18.934720179381628,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.8505999999999888}",20,7,-60.8853897539634,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
250,False,"{'a': 0.5, 'e': 0.8499999999999888}",20,-7,-110.76834611823615,"{0: 17, 1: 1, 2: 7, 3: 1, 4: 1}",0
251,False,"{'a': 0.5, 'e': 0.8493999999999887}",20,-27,-84.10305864380261,"{0: 36, 1: 1, 2: 9, 3: 0, 4: 1}",0
252,False,"{'a': 0.5, 'e': 0.8487999999999887}",25,-57,-314.1165469414596,"{0: 50, 1: 9, 2: 16, 3: 5, 4: 2}",0
253,False,"{'a': 0.5, 'e': 0.8481999999999886}",30,-83,-268.979392317071,"{0: 79, 1: 12, 2: 18, 3: 1, 4: 3}",0
254,False,"{'a': 0.5, 'e': 0.8475999999999886}",25,-10,-87.15091744497175,"{0: 28, 1: 1, 2: 4, 3: 0, 4: 2}",0
255,False,"{'a': 0.5, 'e': 0.8469999999999885}",25,14,-19.975132808531573,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.8463999999999885}",20,-45,-200.78709674744002,"{0: 45, 1: 3, 2: 11, 3: 5, 4: 1}",0
257,False,"{'a': 0.5, 'e': 0.8457999999999884}",20,-75,-430.9224192616141,"{0: 58, 1: 14, 2: 15, 3: 1, 4: 7}",0
258,False,"{'a': 0.5, 'e': 0.8451999999999884}",20,-23,-259.3983960194042,"{0: 23, 1: 7, 2: 8, 3: 1, 4: 4}",0
259,False,"{'a': 0.5, 'e': 0.8445999999999884}",25,18,8.880122525699845,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.8439999999999883}",25,5,-67.77685870228491,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",1
261,False,"{'a': 0.5, 'e': 0.8433999999999883}",20,-17,-182.6129462615141,"{0: 23, 1: 4, 2: 5, 3: 3, 4: 2}",0
262,False,"{'a': 0.5, 'e': 0.8427999999999882}",20,7,-35.30382863863515,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.8421999999999882}",30,-59,-203.8483550338527,"{0: 65, 1: 10, 2: 7, 3: 5, 4: 2}",0
264,False,"{'a': 0.5, 'e': 0.8415999999999881}",30,-97,-483.5980246490116,"{0: 87, 1: 7, 2: 22, 3: 4, 4: 7}",0
265,False,"{'a': 0.5, 'e': 0.8409999999999881}",20,-8,-108.77721544878312,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 2}",0
266,False,"{'a': 0.5, 'e': 0.840399999999988}",25,-52,-149.2788444257683,"{0: 60, 1: 5, 2: 8, 3: 1, 4: 3}",0
267,False,"{'a': 0.5, 'e': 0.839799999999988}",20,-6,-151.96183634644723,"{0: 13, 1: 4, 2: 5, 3: 3, 4: 1}",0
268,False,"{'a': 0.5, 'e': 0.839199999999988}",25,-85,-334.41551426835264,"{0: 74, 1: 12, 2: 17, 3: 4, 4: 3}",0
269,False,"{'a': 0.5, 'e': 0.8385999999999879}",20,-20,-124.02785954771315,"{0: 27, 1: 3, 2: 8, 3: 1, 4: 1}",0
270,False,"{'a': 0.5, 'e': 0.8379999999999879}",25,-2,-15.371601431421556,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 0}",0
271,False,"{'a': 0.5, 'e': 0.8373999999999878}",25,-71,-297.73870017592674,"{0: 65, 1: 9, 2: 16, 3: 2, 4: 4}",0
272,False,"{'a': 0.5, 'e': 0.8367999999999878}",30,-100,-538.2358913717746,"{0: 85, 1: 11, 2: 23, 3: 3, 4: 8}",0
273,False,"{'a': 0.5, 'e': 0.8361999999999877}",20,11,-0.45400121561828777,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.8355999999999877}",30,-13,-239.28802574070232,"{0: 25, 1: 4, 2: 10, 3: 0, 4: 4}",0
275,False,"{'a': 0.5, 'e': 0.8349999999999876}",20,-80,-548.226961750516,"{0: 64, 1: 9, 2: 12, 3: 6, 4: 9}",0
276,False,"{'a': 0.5, 'e': 0.8343999999999876}",30,-14,-109.5246441949164,"{0: 30, 1: 5, 2: 7, 3: 1, 4: 1}",0
277,False,"{'a': 0.5, 'e': 0.8337999999999876}",30,-70,-569.5290278995612,"{0: 60, 1: 12, 2: 14, 3: 5, 4: 9}",0
278,False,"{'a': 0.5, 'e': 0.8331999999999875}",25,-77,-446.90479044396767,"{0: 70, 1: 7, 2: 14, 3: 3, 4: 8}",0
279,False,"{'a': 0.5, 'e': 0.8325999999999875}",25,-57,-323.70445371745643,"{0: 56, 1: 7, 2: 9, 3: 6, 4: 4}",0
280,False,"{'a': 0.5, 'e': 0.8319999999999874}",25,1,-59.73938621226765,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 1}",1
281,False,"{'a': 0.5, 'e': 0.8313999999999874}",25,-7,-172.48090941776277,"{0: 16, 1: 5, 2: 7, 3: 3, 4: 1}",0
282,False,"{'a': 0.5, 'e': 0.8307999999999873}",30,-21,-307.3709353368639,"{0: 30, 1: 4, 2: 10, 3: 2, 4: 5}",0
283,False,"{'a': 0.5, 'e': 0.8301999999999873}",30,-75,-584.8942961594216,"{0: 58, 1: 11, 2: 24, 3: 5, 4: 7}",0
284,False,"{'a': 0.5, 'e': 0.8295999999999872}",20,2,-115.00566232598364,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 3}",1
285,False,"{'a': 0.5, 'e': 0.8289999999999872}",30,15,-84.98499715177132,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 1}",1
286,False,"{'a': 0.5, 'e': 0.8283999999999871}",30,-21,-143.55667089309352,"{0: 32, 1: 8, 2: 8, 3: 3, 4: 0}",0
287,False,"{'a': 0.5, 'e': 0.8277999999999871}",20,-30,-131.07607382660092,"{0: 35, 1: 3, 2: 10, 3: 1, 4: 1}",0
288,False,"{'a': 0.5, 'e': 0.8271999999999871}",30,10,-158.69249472001738,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",1
289,False,"{'a': 0.5, 'e': 0.826599999999987}",20,-47,-309.02340185861647,"{0: 38, 1: 6, 2: 19, 3: 1, 4: 3}",0
290,False,"{'a': 0.5, 'e': 0.825999999999987}",25,-26,-183.40177569108133,"{0: 36, 1: 4, 2: 6, 3: 2, 4: 3}",0
291,False,"{'a': 0.5, 'e': 0.8253999999999869}",20,-33,-150.68464581769916,"{0: 35, 1: 5, 2: 10, 3: 2, 4: 1}",0
292,False,"{'a': 0.5, 'e': 0.8247999999999869}",20,-8,-107.9661679509209,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 2}",0
293,False,"{'a': 0.5, 'e': 0.8241999999999868}",20,-3,-139.89928005416735,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 2}",0
294,False,"{'a': 0.5, 'e': 0.8235999999999868}",20,-78,-362.365697689914,"{0: 62, 1: 11, 2: 16, 3: 6, 4: 3}",0
295,False,"{'a': 0.5, 'e': 0.8229999999999867}",30,-4,-149.8882094989519,"{0: 23, 1: 4, 2: 4, 3: 0, 4: 3}",0
296,False,"{'a': 0.5, 'e': 0.8223999999999867}",35,-87,-429.1613108752089,"{0: 83, 1: 8, 2: 22, 3: 3, 4: 6}",0
297,False,"{'a': 0.5, 'e': 0.8217999999999867}",25,16,-45.3527579382449,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
298,False,"{'a': 0.5, 'e': 0.8211999999999866}",25,11,-75.12155910568758,"{0: 6, 1: 5, 2: 2, 3: 0, 4: 1}",1
299,False,"{'a': 0.5, 'e': 0.8205999999999866}",20,4,4.494901003937638,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.8199999999999865}",20,-41,-140.1884141254873,"{0: 44, 1: 6, 2: 8, 3: 1, 4: 2}",0
301,False,"{'a': 0.5, 'e': 0.8193999999999865}",30,-72,-381.945076110154,"{0: 73, 1: 5, 2: 13, 3: 5, 4: 6}",0
302,False,"{'a': 0.5, 'e': 0.8187999999999864}",20,-7,-85.82738357353416,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 0}",0
303,False,"{'a': 0.5, 'e': 0.8181999999999864}",25,-1,-35.076280728483724,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 1}",1
304,False,"{'a': 0.5, 'e': 0.8175999999999863}",25,-50,-303.61402891199106,"{0: 54, 1: 8, 2: 5, 3: 1, 4: 7}",0
305,False,"{'a': 0.5, 'e': 0.8169999999999863}",20,-11,-133.51026530239042,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 2}",0
306,False,"{'a': 0.5, 'e': 0.8163999999999862}",30,15,-38.90506258204146,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
307,False,"{'a': 0.5, 'e': 0.8157999999999862}",25,-53,-322.327416221302,"{0: 52, 1: 6, 2: 12, 3: 3, 4: 5}",0
308,False,"{'a': 0.5, 'e': 0.8151999999999862}",20,15,-9.97200100790613,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
309,False,"{'a': 0.5, 'e': 0.8145999999999861}",20,-30,-145.59320225101075,"{0: 29, 1: 11, 2: 8, 3: 1, 4: 1}",0
310,False,"{'a': 0.5, 'e': 0.8139999999999861}",20,-27,-173.10688150787672,"{0: 32, 1: 5, 2: 6, 3: 1, 4: 3}",0
311,False,"{'a': 0.5, 'e': 0.813399999999986}",20,-34,-158.6993611262045,"{0: 35, 1: 6, 2: 10, 3: 2, 4: 1}",0
312,False,"{'a': 0.5, 'e': 0.812799999999986}",20,-10,-56.59658124095379,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
313,False,"{'a': 0.5, 'e': 0.8121999999999859}",25,-17,-77.4888959879935,"{0: 30, 1: 5, 2: 6, 3: 0, 4: 1}",0
314,False,"{'a': 0.5, 'e': 0.8115999999999859}",25,-41,-343.06375062764994,"{0: 38, 1: 7, 2: 14, 3: 2, 4: 5}",0
315,False,"{'a': 0.5, 'e': 0.8109999999999858}",25,-72,-370.67536087230536,"{0: 63, 1: 14, 2: 12, 3: 2, 4: 6}",0
316,False,"{'a': 0.5, 'e': 0.8103999999999858}",20,-100,-579.8401452314854,"{0: 78, 1: 8, 2: 21, 3: 4, 4: 9}",0
317,False,"{'a': 0.5, 'e': 0.8097999999999858}",25,12,-74.00056551105389,"{0: 6, 1: 3, 2: 3, 3: 0, 4: 1}",1
318,False,"{'a': 0.5, 'e': 0.8091999999999857}",30,-20,-154.0355340758718,"{0: 35, 1: 2, 2: 10, 3: 1, 4: 2}",0
319,False,"{'a': 0.5, 'e': 0.8085999999999857}",25,-1,-101.99325187674019,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 2}",1
320,False,"{'a': 0.5, 'e': 0.8079999999999856}",20,0,-26.86485605108622,"{0: 14, 1: 5, 2: 0, 3: 1, 4: 0}",1
321,False,"{'a': 0.5, 'e': 0.8073999999999856}",30,2,-118.7244590092817,"{0: 19, 1: 3, 2: 3, 3: 1, 4: 2}",1
322,False,"{'a': 0.5, 'e': 0.8067999999999855}",35,-16,-265.5562663450447,"{0: 28, 1: 10, 2: 8, 3: 1, 4: 4}",0
323,False,"{'a': 0.5, 'e': 0.8061999999999855}",20,4,-8.136587692666415,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
324,False,"{'a': 0.5, 'e': 0.8055999999999854}",35,-57,-366.1712969452068,"{0: 67, 1: 8, 2: 8, 3: 1, 4: 8}",0
325,False,"{'a': 0.5, 'e': 0.8049999999999854}",25,12,-15.91945987330213,"{0: 9, 1: 3, 2: 0, 3: 1, 4: 0}",1
326,False,"{'a': 0.5, 'e': 0.8043999999999853}",20,-27,-164.4818333201699,"{0: 31, 1: 6, 2: 6, 3: 2, 4: 2}",0
327,False,"{'a': 0.5, 'e': 0.8037999999999853}",20,-38,-240.43027848039713,"{0: 38, 1: 3, 2: 11, 3: 3, 4: 3}",0
328,False,"{'a': 0.5, 'e': 0.8031999999999853}",20,-30,-210.0246367164377,"{0: 32, 1: 5, 2: 9, 3: 1, 4: 3}",0
329,False,"{'a': 0.5, 'e': 0.8025999999999852}",30,-5,-13.873850626157129,"{0: 29, 1: 3, 2: 2, 3: 1, 4: 0}",0
330,False,"{'a': 0.5, 'e': 0.8019999999999852}",20,3,-121.03223376388132,"{0: 7, 1: 3, 2: 4, 3: 2, 4: 1}",1
331,False,"{'a': 0.5, 'e': 0.8013999999999851}",25,7,-114.90729166611041,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 2}",1
332,False,"{'a': 0.5, 'e': 0.8007999999999851}",30,-27,-286.6009150577337,"{0: 37, 1: 3, 2: 12, 3: 0, 4: 5}",0
333,False,"{'a': 0.5, 'e': 0.800199999999985}",25,16,-2.357838891677231,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
334,False,"{'a': 0.5, 'e': 0.799599999999985}",25,-1,-9.937136024727993,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 0}",1
335,False,"{'a': 0.5, 'e': 0.7989999999999849}",30,9,-8.509926783745966,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 0}",1
336,False,"{'a': 0.5, 'e': 0.7983999999999849}",20,-69,-360.2451469319059,"{0: 57, 1: 7, 2: 18, 3: 2, 4: 5}",0
337,False,"{'a': 0.5, 'e': 0.7977999999999849}",20,-28,-81.8342484045925,"{0: 36, 1: 6, 2: 3, 3: 2, 4: 1}",0
338,False,"{'a': 0.5, 'e': 0.7971999999999848}",20,-24,-109.68512523548931,"{0: 30, 1: 5, 2: 7, 3: 1, 4: 1}",0
339,False,"{'a': 0.5, 'e': 0.7965999999999848}",20,-3,-1.2607208999552548,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",0
340,False,"{'a': 0.5, 'e': 0.7959999999999847}",20,-61,-263.8191102240782,"{0: 59, 1: 8, 2: 7, 3: 2, 4: 5}",0
341,False,"{'a': 0.5, 'e': 0.7953999999999847}",25,-21,-208.17868083456955,"{0: 29, 1: 2, 2: 12, 3: 0, 4: 3}",0
342,False,"{'a': 0.5, 'e': 0.7947999999999846}",35,-75,-405.6736241084448,"{0: 72, 1: 13, 2: 17, 3: 3, 4: 5}",0
343,False,"{'a': 0.5, 'e': 0.7941999999999846}",20,-52,-221.9143597157994,"{0: 48, 1: 5, 2: 14, 3: 3, 4: 2}",0
344,False,"{'a': 0.5, 'e': 0.7935999999999845}",20,-2,-64.18928963755081,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 1}",0
345,False,"{'a': 0.5, 'e': 0.7929999999999845}",25,-41,-286.06799901051977,"{0: 45, 1: 5, 2: 8, 3: 3, 4: 5}",0
346,False,"{'a': 0.5, 'e': 0.7923999999999845}",20,-6,-202.38971206165715,"{0: 12, 1: 5, 2: 4, 3: 2, 4: 3}",0
347,False,"{'a': 0.5, 'e': 0.7917999999999844}",20,-7,-34.529544378291305,"{0: 21, 1: 1, 2: 3, 3: 2, 4: 0}",0
348,False,"{'a': 0.5, 'e': 0.7911999999999844}",35,-43,-382.88732491332166,"{0: 49, 1: 5, 2: 15, 3: 4, 4: 5}",0
349,False,"{'a': 0.5, 'e': 0.7905999999999843}",20,2,-81.90928792233467,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
350,False,"{'a': 0.5, 'e': 0.7899999999999843}",20,12,1.884616397210546,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.5, 'e': 0.7893999999999842}",20,-100,-381.2497162338976,"{0: 72, 1: 19, 2: 22, 3: 5, 4: 2}",0
352,False,"{'a': 0.5, 'e': 0.7887999999999842}",20,-62,-273.5258329720102,"{0: 62, 1: 3, 2: 10, 3: 2, 4: 5}",0
353,False,"{'a': 0.5, 'e': 0.7881999999999841}",20,1,-77.01292410937023,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 1}",1
354,False,"{'a': 0.5, 'e': 0.7875999999999841}",20,2,-42.40003095866116,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
355,False,"{'a': 0.5, 'e': 0.786999999999984}",25,-26,-182.93997661616623,"{0: 37, 1: 3, 2: 6, 3: 2, 4: 3}",0
356,False,"{'a': 0.5, 'e': 0.786399999999984}",20,4,-24.803103506804167,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
357,False,"{'a': 0.5, 'e': 0.785799999999984}",20,-100,-388.61465412991157,"{0: 84, 1: 13, 2: 11, 3: 7, 4: 5}",0
358,False,"{'a': 0.5, 'e': 0.7851999999999839}",20,-17,-245.20747864817218,"{0: 22, 1: 2, 2: 7, 3: 2, 4: 4}",0
359,False,"{'a': 0.5, 'e': 0.7845999999999839}",30,-6,-173.59199480868398,"{0: 23, 1: 3, 2: 5, 3: 3, 4: 2}",0
360,False,"{'a': 0.5, 'e': 0.7839999999999838}",20,-100,-379.23077885496434,"{0: 83, 1: 13, 2: 14, 3: 4, 4: 6}",0
