trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9747999999999981}",20,-92,-613.734939765194,"{0: 61, 1: 15, 2: 25, 3: 3, 4: 8}",0
43,False,"{'a': 0.5, 'e': 0.9741999999999981}",25,-40,-188.53973850087755,"{0: 44, 1: 10, 2: 8, 3: 0, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.973599999999998}",20,11,-28.058235212473974,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.972999999999998}",25,-100,-363.8350972989677,"{0: 87, 1: 13, 2: 18, 3: 2, 4: 5}",0
46,False,"{'a': 0.5, 'e': 0.9723999999999979}",20,2,-135.4962158589001,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 3}",1
47,False,"{'a': 0.5, 'e': 0.9717999999999979}",20,0,-38.39687091058816,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.9711999999999978}",30,-100,-840.2754909508255,"{0: 67, 1: 21, 2: 24, 3: 7, 4: 11}",0
49,False,"{'a': 0.5, 'e': 0.9705999999999978}",25,-100,-797.6539660634993,"{0: 63, 1: 16, 2: 30, 3: 6, 4: 10}",0
50,False,"{'a': 0.5, 'e': 0.9699999999999978}",20,-100,-548.0453194205121,"{0: 74, 1: 13, 2: 21, 3: 5, 4: 7}",0
51,False,"{'a': 0.5, 'e': 0.9693999999999977}",20,-26,-285.8267672064647,"{0: 27, 1: 2, 2: 11, 3: 2, 4: 4}",0
52,False,"{'a': 0.5, 'e': 0.9687999999999977}",25,5,-90.67493410453747,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",1
53,False,"{'a': 0.5, 'e': 0.9681999999999976}",20,-39,-162.18669876307968,"{0: 41, 1: 5, 2: 10, 3: 1, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.9675999999999976}",30,-31,-152.50988286391652,"{0: 46, 1: 5, 2: 7, 3: 0, 4: 3}",0
55,False,"{'a': 0.5, 'e': 0.9669999999999975}",25,-61,-572.7632499665629,"{0: 48, 1: 9, 2: 16, 3: 4, 4: 9}",0
56,False,"{'a': 0.5, 'e': 0.9663999999999975}",30,-100,-651.8798552514934,"{0: 75, 1: 15, 2: 29, 3: 2, 4: 9}",0
57,False,"{'a': 0.5, 'e': 0.9657999999999974}",20,-30,-311.4124057712164,"{0: 28, 1: 3, 2: 12, 3: 3, 4: 4}",0
58,False,"{'a': 0.5, 'e': 0.9651999999999974}",20,-87,-435.1283890783023,"{0: 72, 1: 5, 2: 21, 3: 3, 4: 6}",0
59,False,"{'a': 0.5, 'e': 0.9645999999999973}",20,12,-17.388163313178325,"{0: 4, 1: 3, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.9639999999999973}",25,-51,-239.90998182260486,"{0: 50, 1: 9, 2: 13, 3: 1, 4: 3}",0
61,False,"{'a': 0.5, 'e': 0.9633999999999973}",20,-98,-600.337008541263,"{0: 69, 1: 12, 2: 25, 3: 5, 4: 7}",0
62,False,"{'a': 0.5, 'e': 0.9627999999999972}",20,-73,-399.69951032766147,"{0: 59, 1: 7, 2: 19, 3: 3, 4: 5}",0
63,False,"{'a': 0.5, 'e': 0.9621999999999972}",25,-78,-454.05871439069546,"{0: 65, 1: 15, 2: 12, 3: 4, 4: 7}",0
64,False,"{'a': 0.5, 'e': 0.9615999999999971}",20,-3,-157.22503993450957,"{0: 12, 1: 3, 2: 4, 3: 2, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.9609999999999971}",30,-100,-645.8144496869055,"{0: 72, 1: 23, 2: 21, 3: 7, 4: 7}",0
66,False,"{'a': 0.5, 'e': 0.960399999999997}",20,-37,-390.0857059218246,"{0: 31, 1: 6, 2: 12, 3: 2, 4: 6}",0
67,False,"{'a': 0.5, 'e': 0.959799999999997}",25,-29,-199.85373914855109,"{0: 34, 1: 8, 2: 7, 3: 3, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.9591999999999969}",25,-54,-348.6468858364907,"{0: 52, 1: 9, 2: 10, 3: 2, 4: 6}",0
